"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN1237_c0_g1",7531.87675247566,10.7614306794922,0.90688097651833,11.8664201346545,1.76875489503519e-32,9.18956605715531e-28
"TRINITY_DN887_c0_g1",1132.41829630106,5.88164427262934,0.579308448203126,10.1528715675954,3.21754091514179e-24,8.35836691230958e-20
"TRINITY_DN2588_c2_g1",890.218125878809,9.14656090823551,1.00179489811659,9.13017317759495,6.83898064727532e-20,1.1843974650973e-15
"TRINITY_DN3468_c0_g1",226.14915409504,-12.7972163675322,1.42293831259134,-8.99351451450273,2.39448275804738e-19,3.11013379235879e-15
"TRINITY_DN858_c0_g2",277.042780269986,-7.63976510926666,0.871131205803184,-8.76993621439929,1.78767527917994e-18,1.85757338259587e-14
"TRINITY_DN692_c1_g2",170.969715862417,-13.1925858433353,1.67223472059837,-7.88919502796513,3.04141906202471e-15,2.6336154561249e-11
"TRINITY_DN1055_c0_g1",727.997347292275,4.69210341170296,0.61163161555217,7.67145335917113,1.70058316699647e-14,1.26219712059002e-10
"TRINITY_DN12284_c0_g1",217.15650009195,9.1971023896035,1.25851636402995,7.30789257292856,2.71364598245455e-13,1.76234346273032e-09
"TRINITY_DN91_c23_g1",331.59550468988,10.4071531526607,1.44606585134347,7.19687360225809,6.16088243747302e-13,3.55654052265457e-09
"TRINITY_DN608_c0_g2",246.05337378,-6.32325681059077,0.91871616230884,-6.8827098836486,5.872454893343e-12,3.05103393983636e-08
"TRINITY_DN3249_c1_g1",98.8871198487218,-12.3875141343608,1.8262997235143,-6.7828483872975,1.17829275072631e-11,5.56529089672593e-08
"TRINITY_DN3695_c0_g1",126.843839672161,11.2242693686625,1.7018142215551,6.59547277634445,4.23902820211686e-11,1.83532258534151e-07
"TRINITY_DN4179_c0_g1",1024.49734176938,-7.01194843472404,1.08993910557442,-6.43333962316053,1.24830298680214e-10,4.98889089840807e-07
"TRINITY_DN1842_c2_g1",339.244311445989,-11.9250658984419,1.86297657429546,-6.4010820441753,1.54279637219572e-10,5.7254275369592e-07
"TRINITY_DN91_c24_g1",66.2264732817128,11.327718326547,1.80941393693841,6.26043499240087,3.83905085935076e-10,1.32971924931713e-06
"TRINITY_DN18841_c0_g1",884.828818429943,-4.34172054279648,0.698982839762493,-6.21148373867339,5.2486623376492e-10,1.70433907345352e-06
"TRINITY_DN608_c0_g3",403.229295445544,-5.70104165230056,0.928735013673899,-6.13850190674768,8.33033130181327e-10,2.54589625168064e-06
"TRINITY_DN44339_c0_g1",114.469713411447,-10.057165856185,1.6744605575629,-6.00621245496684,1.89907312273938e-09,4.93331720459622e-06
"TRINITY_DN6349_c0_g1",104.64038190091,-11.3583320962556,1.88616258792118,-6.02192630104812,1.72353376304542e-09,4.93331720459622e-06
"TRINITY_DN89176_c0_g1",393.537666329082,-5.58355528469756,0.929589530130464,-6.00647393685032,1.89601437678361e-09,4.93331720459622e-06
"TRINITY_DN1327_c0_g1",397.92922679058,10.4727356902087,1.76611117236057,5.92982811847053,3.03251950818997e-09,7.50259766895285e-06
"TRINITY_DN1366_c0_g1",162.571841780607,-11.5067503575503,1.95343774855988,-5.89051295135119,3.84998694976747e-09,9.09209418068949e-06
"TRINITY_DN54404_c0_g1",111.828088030484,-5.5380988294959,0.944292481478231,-5.86481300881095,4.49639128021576e-09,1.01569569114613e-05
"TRINITY_DN13072_c0_g1",97.1940320227929,-11.7064771403753,2.00358310002079,-5.84277095382462,5.13395853239127e-09,1.11139506479328e-05
"TRINITY_DN289_c3_g1",672.312630323101,-5.13676763055251,0.887137411609177,-5.79027280704455,7.027219254405e-09,1.40422760139466e-05
"TRINITY_DN773_c3_g1",170.839864938525,-6.28173845337851,1.08411051518324,-5.79437092934825,6.85777400805283e-09,1.40422760139466e-05
