"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN37199_c0_g1",1738.63425116723,10.1053319089185,0.999804341148345,10.1073094934873,5.12730072485388e-24,2.772228955914e-19
"TRINITY_DN1055_c0_g1",727.997347292275,5.34641841903195,0.611367015302047,8.74502268721603,2.22970840111212e-18,6.0277936915665e-14
"TRINITY_DN9269_c0_g1",568.118413743224,8.00148692685945,0.977625038599772,8.18461742583821,2.73170063512142e-16,4.9232529979915e-12
"TRINITY_DN1327_c0_g1",397.92922679058,14.2376218002244,1.76549989508882,8.06435720547472,7.36222021991533e-16,7.96121045700764e-12
"TRINITY_DN858_c0_g2",277.042780269986,-6.81203791637095,0.843814729619397,-8.07290709353168,6.86438398215129e-16,7.96121045700764e-12
"TRINITY_DN1376_c0_g1",668.447187270453,9.11462014371693,1.16607334690325,7.81650671282619,5.43094229660021e-15,4.31736666336194e-11
"TRINITY_DN3468_c0_g1",226.14915409504,-9.31494669384958,1.19225507149995,-7.81288074717993,5.58954772574047e-15,4.31736666336194e-11
"TRINITY_DN1842_c2_g1",339.244311445989,-13.9086765601563,1.86297888230268,-7.46582620569744,8.27785454966162e-14,5.59458799738881e-10
"TRINITY_DN8526_c0_g1",125.624024623416,-12.4362820403836,1.67637804180164,-7.41854267371462,1.18416025471437e-13,7.11390851687739e-10
"TRINITY_DN289_c3_g1",672.312630323101,-6.65805315092619,0.912950122382344,-7.29289912744849,3.03355223759358e-13,1.6401810238221e-09
"TRINITY_DN105103_c0_g1",210.194982949657,-12.0739668512726,1.66924682680678,-7.23318244933842,4.71804861396428e-13,2.31904956781655e-09
"TRINITY_DN91_c23_g1",331.59550468988,10.1120436662406,1.44616054775326,6.99233821718517,2.70342180797454e-12,1.21807175261306e-08
"TRINITY_DN6349_c0_g1",104.64038190091,-13.0012755366076,1.88616275171883,-6.89297650733465,5.46369006768441e-12,2.27239072753508e-08
"TRINITY_DN2988_c2_g1",295.658518812312,6.74959695171391,1.012527249545,6.66608918895468,2.62709646533163e-11,1.01458465491108e-07
"TRINITY_DN18841_c0_g1",884.828818429943,-4.62152009966069,0.700086788316195,-6.60135311334196,4.07421819545797e-11,1.46856552928014e-07
"TRINITY_DN773_c3_g1",170.839864938525,-7.91334398538917,1.20298885714216,-6.5780692301575,4.76596329695665e-11,1.61053814712407e-07
"TRINITY_DN1366_c0_g1",162.571841780607,-12.7687133189176,1.9534387819883,-6.53653108387715,6.29620572910877e-11,2.0024897138909e-07
"TRINITY_DN64996_c0_g1",161.069896783841,7.64442129416431,1.20293644238311,6.35480065681621,2.08697080955237e-10,6.26879654060432e-07
"TRINITY_DN1327_c0_g3",71.1678713686942,13.0910702643844,2.06591682602497,6.33668795348982,2.34756762240433e-10,6.68043611621882e-07
"TRINITY_DN54404_c0_g1",111.828088030484,-6.246162829112,0.997494883659543,-6.26184949059236,3.80438045192544e-10,1.02847621137352e-06
"TRINITY_DN4179_c0_g1",1024.49734176938,-6.72677926706225,1.08884567970586,-6.17789957974522,6.49600089295333e-10,1.66957198215069e-06
"TRINITY_DN66504_c0_g1",695.331033930965,3.52674540855491,0.571519157747726,6.17082622821131,6.79340526879398e-10,1.66957198215069e-06
"TRINITY_DN44339_c0_g1",114.469713411447,-10.2074626613919,1.67446055954333,-6.09597079084127,1.08775275869117e-09,2.55707026769191e-06
"TRINITY_DN65278_c0_g1",58.9471674946661,-12.2096081780986,2.01489882772366,-6.05966315037882,1.36406907238082e-09,3.00003570072895e-06
"TRINITY_DN91_c24_g1",66.2264732817128,10.9633068379855,1.81003378148579,6.05696255513318,1.38715862466198e-09,3.00003570072895e-06
"TRINITY_DN1181_c1_g1",111.378907322491,9.05106984458796,1.50763676718735,6.00348176800811,1.9313046206768e-09,4.01622223964435e-06
"TRINITY_DN7600_c0_g1",100.466671027872,-12.070042577751,2.01629181605696,-5.98625778353607,2.14723960449752e-09,4.29988707170267e-06
