"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN1237_c0_g1",7531.87675247566,-11.202503307174,0.913231160782312,-12.2668868390096,1.36397514774602e-34,7.08653288011443e-30
"TRINITY_DN3695_c0_g1",126.843839672161,-12.3420344198153,1.70181705862858,-7.25226860151536,4.09848071866504e-13,7.09788552460807e-09
"TRINITY_DN608_c0_g2",246.05337378,6.70692427556165,0.918444913317556,7.30247854641087,2.8251436720149e-13,7.09788552460807e-09
"TRINITY_DN692_c1_g2",170.969715862417,12.0180865891374,1.67449345998988,7.17714752329343,7.1180869863429e-13,9.24550523438613e-09
"TRINITY_DN608_c0_g3",403.229295445544,6.43621784974709,0.928254566743333,6.93367754960557,4.10038705230636e-12,4.26071218605154e-08
"TRINITY_DN98140_c0_g1",13.6444313623939,-28.3527841453823,4.37092010681605,-6.48668551529201,8.7745221555249e-11,7.59800497650494e-07
"TRINITY_DN1857_c0_g1",125.801537757112,34.6047629439415,5.83835040867799,5.92714731416356,3.08242436217302e-09,2.04940208535862e-05
"TRINITY_DN44339_c0_g1",114.469713411447,9.92004773327153,1.67475331280734,5.9232889150957,3.15565714230948e-09,2.04940208535862e-05
"TRINITY_DN2302_c0_g2",320.78890290232,5.17353698740896,0.889413628005411,5.81679527332077,5.99865351097475e-09,3.46288936847437e-05
"TRINITY_DN608_c0_g1",3935.34232741084,4.35799691500679,0.755364185990708,5.76939838535103,7.95550312271395e-09,3.79536862378701e-05
"TRINITY_DN773_c3_g1",170.839864938525,6.25338330423622,1.08420567136666,5.76770945714914,8.03561829692179e-09,3.79536862378701e-05
"TRINITY_DN11017_c0_g1",13.9261692519659,19.9229305861014,3.6696712997967,5.42907769074717,5.6646023033341e-08,0.000233996165152671
"TRINITY_DN83778_c0_g1",178.097185881982,4.17848997557429,0.770487801983898,5.42317472751064,5.85497093058364e-08,0.000233996165152671
"TRINITY_DN105103_c0_g1",210.194982949657,8.61562532171349,1.63841630624838,5.25850804148881,1.45228836149416e-07,0.000538954584438778
"TRINITY_DN91_c23_g1",331.59550468988,-6.21401890762497,1.18779118934314,-5.23157518204981,1.68071651238862e-07,0.000582144176007672
"TRINITY_DN15140_c0_g1",299.33313211525,3.23488132545528,0.633054410607225,5.10995780339385,3.22230772705186e-07,0.00104634373724362
"TRINITY_DN6767_c1_g1",274.876085928626,-3.43711139103628,0.697465844106478,-4.92799958604362,8.30757932402362e-07,0.00253894284576263
"TRINITY_DN91_c24_g1",66.2264732817128,-7.66407459111864,1.57692555693789,-4.86013721916011,1.17304417599428e-06,0.0033858616757657
"TRINITY_DN7305_c3_g1",17.2612579865841,21.0014475662834,4.34529347814357,4.83314824923075,1.34390631484069e-06,0.00367487645197622
"TRINITY_DN19604_c0_g1",654.804052358435,2.56094182147792,0.536813115615769,4.77063944039503,1.8364200577886e-06,0.00477056020512034
"TRINITY_DN7052_c0_g1",66.1610815576508,10.5497842642189,2.22506771951421,4.74133176788086,2.12317918934945e-06,0.00525284641822146
"TRINITY_DN1225_c0_g1",935.709378148197,3.67870358813256,0.778929646112386,4.72276746236693,2.3265681620093e-06,0.00541124110301698
