"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN2194_c0_g1",489.952231461448,-8.90093593016315,1.13011226348644,-7.87615196980821,3.37617565040617e-15,1.60574290108968e-10
"TRINITY_DN557_c0_g1",909.689838325364,13.1954411606466,1.76547390396884,7.47416381005848,7.76963075419288e-14,1.24274771660885e-09
"TRINITY_DN61359_c0_g1",3475.62426661143,-8.59111875801861,1.14962160550746,-7.47299695557334,7.83886619252444e-14,1.24274771660885e-09
"TRINITY_DN1483_c0_g1",1232.57310980937,5.76551802466939,0.807414165113346,7.14071943964472,9.28436825087964e-13,1.10393459595022e-08
"TRINITY_DN136_c0_g1",21797.5033166909,-11.4496838125839,1.6582668729367,-6.90460866067181,5.0342011339109e-12,4.33894012525632e-08
"TRINITY_DN4254_c0_g1",222.534278005992,-9.34708415603178,1.35608157315163,-6.89271526218627,5.47373704327872e-12,4.33894012525632e-08
"TRINITY_DN46224_c0_g1",18.2586283777019,-29.734079427549,4.38268314801074,-6.78444651903368,1.16532392626938e-11,7.917710179614e-08
"TRINITY_DN75432_c0_g1",519.10748964969,-11.6896032257444,1.73266670445176,-6.74659655876703,1.51353356268185e-11,8.99814622183895e-08
"TRINITY_DN182_c0_g1",1815.11486316388,-8.60714174273696,1.29269162535583,-6.65831012896658,2.76993822151154e-11,1.46378924170345e-07
"TRINITY_DN15701_c0_g1",1079.03648592615,-8.62760527871379,1.30892273967827,-6.59137855671636,4.35761195156526e-11,2.07252382028396e-07
"TRINITY_DN13757_c0_g1",14.3285326302513,-29.7737322447587,4.57087960367896,-6.51378614759284,7.32798060005519e-11,3.07927608799904e-07
"TRINITY_DN93105_c0_g1",1037.87469787216,-15.0928350942357,2.32018923661836,-6.5050017714216,7.769246453184e-11,3.07927608799904e-07
"TRINITY_DN111411_c0_g1",199.889137881521,-10.5933628701395,1.63469382301849,-6.48033455621598,9.15194579921098e-11,3.34827457043287e-07
"TRINITY_DN1048_c0_g1",584.384239731676,-14.9780524495899,2.32754202936174,-6.43513726525365,1.23361795549762e-10,4.19086454153018e-07
"TRINITY_DN3176_c0_g1",293.938951228175,-8.02541083457199,1.25624434606748,-6.38841548596385,1.67613416071315e-10,5.31457445451188e-07
