"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN93105_c0_g1",1037.87469787216,-10.7523341502279,1.07309768008972,-10.0199025212028,1.24625800731521e-23,6.75135350302867e-19
"TRINITY_DN61359_c0_g1",3475.62426661143,-9.26475277037011,0.953361550081035,-9.71798450397188,2.52734387276384e-22,6.84568998096177e-18
"TRINITY_DN75432_c0_g1",519.10748964969,-9.56195964779907,1.07343514819474,-8.9078130745765,5.2049057946873e-19,9.3988453871865e-15
"TRINITY_DN182_c0_g1",1815.11486316388,-8.9607840292043,1.08462777599214,-8.26162138527903,1.43706908694153e-16,1.94625859117208e-12
"TRINITY_DN4954_c0_g1",178.656798647627,8.48416582544194,1.09780091804763,7.72832822961243,1.08968088347728e-14,1.18062565001229e-10
"TRINITY_DN291_c3_g1",443.255983727647,-12.3584431359112,1.61005588827502,-7.67578518603586,1.64408443485885e-14,1.48441643482681e-10
"TRINITY_DN557_c0_g1",909.689838325364,12.3927900556902,1.63657690521166,7.57238478450084,3.66434168612188e-14,2.83583403088973e-10
"TRINITY_DN64_c0_g1",835.529572258537,-10.0329094065835,1.33986551701578,-7.4879973244847,6.99324524273675e-14,4.73556343168472e-10
"TRINITY_DN27248_c0_g1",2038.5411926838,-6.48117599218282,0.882242792240697,-7.34624986362552,2.03845157328025e-13,1.22698930088124e-09
"TRINITY_DN11635_c0_g1",1815.12688089485,-5.93580554670071,0.821468030273162,-7.22585094970389,4.97973686107911e-13,2.69767284975238e-09
"TRINITY_DN8503_c1_g1",291.68083682059,-11.718081227265,1.68328836473708,-6.96142234019145,3.36854237234813e-12,1.6589458721565e-08
"TRINITY_DN3176_c0_g1",293.938951228175,-6.05009375498094,0.894171054286241,-6.76614807198198,1.32256191943609e-11,5.84710721161426e-08
"TRINITY_DN8269_c0_g1",130.852248948295,6.4972813745723,0.961480290362469,6.75758144987339,1.40314167114587e-11,5.84710721161426e-08
"TRINITY_DN111411_c0_g1",199.889137881521,-8.03227757689569,1.21669125034533,-6.60173858784295,4.06363612723314e-11,1.57242399943286e-07
"TRINITY_DN77_c0_g2",196.005292110206,-9.58745749607846,1.47848777428438,-6.48463765668875,8.89452835516614e-11,3.2122885638961e-07
"TRINITY_DN2451_c0_g1",1204.73016987724,-4.94880542137176,0.765362349353858,-6.46596403069696,1.00655020666022e-10,3.30942765202435e-07
"TRINITY_DN3950_c0_g1",181.280687173815,5.01759018773768,0.77656847428292,6.46123343130932,1.03852971193056e-10,3.30942765202435e-07
"TRINITY_DN13794_c0_g1",201.624529172389,-11.2790679950081,1.74966297696,-6.44642319322847,1.14520609957147e-10,3.44662500178251e-07
"TRINITY_DN18316_c0_g1",266.534802710101,5.80165830206702,0.923238887739353,6.28402722102942,3.29912900941467e-10,9.40651135931688e-07
"TRINITY_DN2194_c0_g1",489.952231461448,-4.71867191108809,0.758153296035823,-6.22390212607495,4.84939664903599e-10,1.31353182334113e-06
"TRINITY_DN2413_c0_g1",269.977906242253,-29.6572457012763,4.78485102545272,-6.19815445528323,5.71290645426216e-10,1.4737394349845e-06
"TRINITY_DN6498_c0_g1",1422.29717939881,-4.03545105733052,0.653278487294947,-6.17722936819833,6.52362660632692e-10,1.53654097454151e-06
"TRINITY_DN88704_c0_g1",99.0244479249891,-8.67418918605397,1.40420123238476,-6.17731204474344,6.52021254165932e-10,1.53654097454151e-06
"TRINITY_DN75177_c0_g1",471.775322563605,-7.98161810487808,1.29385112828274,-6.16888444922689,6.87734612898138e-10,1.55236029935545e-06
"TRINITY_DN72543_c0_g1",102.521498889949,-8.53786903395055,1.38973144225725,-6.14353879774284,8.07029482216847e-10,1.74876832560533e-06
"TRINITY_DN16644_c0_g1",415.783172909403,-10.0308224079551,1.65163115135894,-6.073282403097,1.25321777718861e-09,2.61117564013995e-06
"TRINITY_DN14840_c0_g1",138.473671963845,-9.49635573765443,1.57266712162056,-6.03837621267804,1.55672781050359e-09,3.12343021031152e-06
"TRINITY_DN91010_c0_g1",483.860633669034,-5.90712649118133,0.989490654920422,-5.96986587170589,2.37448711497782e-09,4.59403894570334e-06
"TRINITY_DN5711_c1_g1",202.347808453836,5.80227551527055,0.974353090609627,5.95500293598927,2.60067161728243e-09,4.85814425941522e-06
"TRINITY_DN90601_c0_g1",347.83914024675,4.44670928584605,0.759835949552263,5.85219650171369,4.85122970206294e-09,8.76018888832852e-06
"TRINITY_DN7401_c1_g1",140.860848772255,-10.425151098534,1.78567031715499,-5.83822836633349,5.27588109784608e-09,9.21968731334244e-06
"TRINITY_DN27842_c0_g1",136.331606971738,-5.06420474475076,0.872997066685591,-5.8009413066844,6.59436811073693e-09,1.11636469894672e-05
"TRINITY_DN16340_c0_g1",85.3107953799762,-9.28868543750614,1.61781815645474,-5.74148917815413,9.38475572530688e-09,1.49529521149132e-05
