"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN1480_c0_g1",1172.27580729948,-12.9921196530478,1.58850520102921,-8.17883356291819,2.8660465326165e-16,1.36312039137773e-11
"TRINITY_DN3950_c0_g1",181.280687173815,6.67713199928257,0.839529912022933,7.95341762533909,1.8143543356411e-15,4.31462532787133e-11
"TRINITY_DN814_c0_g1",298.534164872443,11.8017064178301,1.60649457639544,7.34624728351719,2.03849090228145e-13,3.23175552678026e-09
"TRINITY_DN8269_c0_g1",130.852248948295,7.42301877353934,1.05217570050834,7.05492321287504,1.72696061966703e-12,2.05339935079959e-08
"TRINITY_DN291_c3_g1",443.255983727647,-11.2440280926778,1.61038253639587,-6.98220940587357,2.90573571531755e-12,2.76399392712436e-08
"TRINITY_DN4676_c0_g1",239.01238890878,32.295502489682,4.78527414464955,6.74893465106734,1.48934645320745e-11,1.01192580944285e-07
"TRINITY_DN4954_c0_g1",178.656798647627,10.3181406048602,1.52394160753079,6.77069288867207,1.281670807315e-11,1.01192580944285e-07
"TRINITY_DN12661_c0_g1",73.859195815084,29.6468019577488,4.78554668435222,6.19507109912602,5.82587259129499e-10,3.46355407893226e-06
"TRINITY_DN47318_c0_g1",119.279588542084,-4.8796438012689,0.793563331690471,-6.14902882530389,7.7958811575479e-10,4.11977670815706e-06
"TRINITY_DN2413_c0_g1",269.977906242253,-29.1879300251255,4.78504940763085,-6.09981789917961,1.06189370285977e-09,5.05047264017137e-06
"TRINITY_DN11281_c0_g2",98.466863484529,-6.32542225958157,1.04399956975017,-6.0588360789222,1.3711002793036e-09,5.92826367126896e-06
"TRINITY_DN112799_c0_g1",105.068521730677,28.6834473620609,4.78663916208831,5.99239808783642,2.06769014126011e-09,8.19511756737268e-06
"TRINITY_DN41148_c0_g1",460.978233724964,-9.86582806870533,1.66176261593804,-5.93696595054053,2.90344936400219e-09,1.06223811693314e-05
"TRINITY_DN4290_c0_g1",574.135278604789,28.2519751170137,4.78491601051797,5.90438265894566,3.53969703474195e-09,1.20251093335258e-05
"TRINITY_DN14530_c0_g1",78.0455873766862,6.66993598980387,1.13613835535408,5.87070752287487,4.33939223688122e-09,1.37590556118872e-05
"TRINITY_DN10009_c0_g1",1806.88450883741,27.9129724141229,4.78485043144156,5.83361440740237,5.42393861820152e-09,1.61229965387676e-05
"TRINITY_DN89298_c0_g1",267.536004291782,-8.61248458506803,1.48092912167148,-5.81559539821014,6.04184441156587e-09,1.69033036504991e-05
"TRINITY_DN1065_c6_g1",130.840511713181,26.6118590376248,4.79467273324249,5.55029728163072,2.85184228900207e-08,7.53535950595707e-05
"TRINITY_DN18316_c0_g1",266.534802710101,4.88730595976886,0.893733941734067,5.46841261313883,4.54083841165432e-08,0.000113666745103522
"TRINITY_DN9134_c0_g1",50.1996119849998,9.9835227368212,1.83440807796688,5.44236740817571,5.2577093030022e-08,0.000125030956080044
"TRINITY_DN2451_c0_g1",1204.73016987724,-4.1070864594532,0.765596499906416,-5.36455751816425,8.11478988390263e-08,0.000183784534127759
"TRINITY_DN1075_c0_g1",66.1624811370674,9.17605176545308,1.74236849793955,5.26642428183491,1.39106582683151e-07,0.000287654268651884
"TRINITY_DN4508_c0_g1",109.52181765853,9.82102112471512,1.86222870197331,5.27379967579076,1.3362776639244e-07,0.000287654268651884
"TRINITY_DN9636_c0_g1",166.581483374567,-3.90171205321024,0.742202514895798,-5.25693725755972,1.46474256404751e-07,0.000290269254536098
"TRINITY_DN3101_c0_g1",109.963202005146,-5.82743207555283,1.13024222863984,-5.15591430570214,2.52396312489622e-07,0.000461700808396881
"TRINITY_DN58375_c0_g1",127.318243827479,-10.2763584405896,1.99099700151956,-5.16141331842615,2.45092372819053e-07,0.000461700808396881
"TRINITY_DN4930_c0_g1",375.659790224741,-6.13541510721015,1.21753664594966,-5.03920364748006,4.67472865406288e-07,0.000823462109318091
"TRINITY_DN614_c0_g1",164.721776554822,4.22263176465702,0.845736723639626,4.99284428194738,5.94965261135795e-07,0.00101061224231713
"TRINITY_DN77080_c0_g1",55.9152315041785,-8.80352943814706,1.76998573678911,-4.9737855255926,6.56579489254644e-07,0.00107681300304966
"TRINITY_DN2632_c1_g1",80.4357481902855,8.48831227850969,1.71203676808831,4.95801984906427,7.1215288999766e-07,0.00112902345337262
"TRINITY_DN89236_c0_g1",108.785954284251,-9.04961943056911,1.83586529938497,-4.92934826623763,8.25043847766773e-07,0.00126580356269792
"TRINITY_DN61612_c0_g1",32.2698820791614,9.36564752272348,1.92104878269811,4.87527834122435,1.08655140670337e-06,0.00161492098294435
"TRINITY_DN16948_c0_g1",138.399764783144,-8.59328792898721,1.7682082235066,-4.85988460790299,1.17454192410502e-06,0.00169279965007148
"TRINITY_DN59956_c0_g1",60.8055789953256,8.99111335656835,1.86020570017957,4.83339737949434,1.34222483066429e-06,0.00187757515209483
"TRINITY_DN73760_c0_g1",128.540737917966,23.0903394992783,4.78548013703849,4.82508313440997,1.39944881321029e-06,0.00190169100014556
"TRINITY_DN903_c0_g1",394.107145624977,-7.58534673291431,1.58189210419474,-4.79511005383999,1.62585546385934e-06,0.00214798088101706
"TRINITY_DN75432_c0_g1",519.10748964969,-5.13845228855788,1.0882764010702,-4.72164266679381,2.33947440695435e-06,0.00300723627754475
"TRINITY_DN33136_c0_g1",86.7460556943157,6.280456903937,1.34182975315596,4.68051695020584,2.86152450273998e-06,0.00358149912828464
"TRINITY_DN3164_c0_g1",1058.91006564696,4.2033744471074,0.899313596265522,4.67398076106297,2.95417017434589e-06,0.00360264840159141
"TRINITY_DN58882_c0_g1",103.658439270406,4.09604392625396,0.880315506129048,4.65292715820175,3.27255877228965e-06,0.0038911541942217
"TRINITY_DN5442_c0_g1",140.282198934694,-4.85703252734707,1.05176198925789,-4.6179958744983,3.87463954584992e-06,0.00449467637658946
