ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0005198	116407	445	208	9	5004	35	1	false	0.0027769543603812777	0.0027769543603812777	0.0	"structural molecule activity"
GO:0019538	116407	1206	208	10	2066	10	3	false	0.004522683178023122	0.004522683178023122	0.0	"protein metabolic process"
GO:0015453	116407	16	208	2	535	4	2	false	0.004865520708593062	0.004865520708593062	5.825396889764046E-31	"oxidoreduction-driven active transmembrane transporter activity"
GO:0016675	116407	14	208	2	461	4	1	false	0.00497159991556304	0.00497159991556304	5.434668916459107E-27	"oxidoreductase activity, acting on a heme group of donors"
GO:0042302	116407	8	208	2	445	9	1	false	0.009574765097972142	0.009574765097972142	2.793326169241045E-17	"structural constituent of cuticle"
GO:0003674	116407	5004	208	35	5700	35	1	false	0.010331247328650477	0.010331247328650477	0.0	"molecular_function"
GO:0043603	116407	547	208	7	1818	10	1	false	0.010585911244598711	0.010585911244598711	0.0	"amide metabolic process"
GO:0009055	116407	29	208	2	474	4	2	false	0.020107309462014084	0.020107309462014084	5.353595310330001E-47	"electron transfer activity"
GO:0016769	116407	6	208	1	793	3	1	false	0.02255555508855473	0.02255555508855473	2.950715459344019E-15	"transferase activity, transferring nitrogenous groups"
GO:0006412	116407	517	208	7	1494	10	5	false	0.024001385895582057	0.024001385895582057	0.0	"translation"
GO:0016679	116407	3	208	1	461	4	1	false	0.025860852058757895	0.025860852058757895	6.164243810635887E-8	"oxidoreductase activity, acting on diphenols and related substances as donors"
GO:0046500	116407	5	208	1	2088	12	2	false	0.028434166040960163	0.028434166040960163	3.0381570831552127E-15	"S-adenosylmethionine metabolic process"
GO:0044183	116407	96	208	3	5005	35	3	false	0.028735823434421562	0.028735823434421562	1.7856676133982135E-205	"protein folding chaperone"
GO:0004129	116407	14	208	2	78	2	5	false	0.030303030303029672	0.030303030303029672	9.768201397951623E-16	"cytochrome-c oxidase activity"
GO:0006457	116407	114	208	3	2408	15	1	false	0.03100163270073759	0.03100163270073759	1.1938856786296734E-198	"protein folding"
GO:0051082	116407	109	208	3	1000	7	1	false	0.03179776444682222	0.03179776444682222	6.510300926291653E-149	"unfolded protein binding"
GO:0022853	116407	38	208	2	197	2	2	false	0.03641355019164735	0.03641355019164735	1.539984501612326E-41	"active monoatomic ion transmembrane transporter activity"
GO:0030170	116407	38	208	2	1172	10	2	false	0.039103661659391886	0.039103661659391886	2.304610384451578E-72	"pyridoxal phosphate binding"
GO:0070279	116407	38	208	2	1778	15	3	false	0.039206058783576386	0.039206058783576386	2.4776998161547815E-79	"vitamin B6 binding"
GO:0006556	116407	5	208	1	956	8	3	false	0.04123147580568923	0.04123147580568923	1.518594275619487E-13	"S-adenosylmethionine biosynthetic process"
GO:0006518	116407	535	208	7	1394	10	2	false	0.04308704187073105	0.04308704187073105	0.0	"peptide metabolic process"
GO:0043604	116407	530	208	7	806	7	2	false	0.052438833995661495	0.052438833995661495	3.799646930933974E-224	"amide biosynthetic process"
GO:0140662	116407	90	208	3	352	4	2	false	0.05301121991667156	0.05301121991667156	2.548440950664167E-86	"ATP-dependent protein folding chaperone"
GO:0019842	116407	47	208	2	1245	11	1	false	0.0617619576666592	0.0617619576666592	2.096904101901504E-86	"vitamin binding"
GO:0098660	116407	102	208	2	374	2	1	false	0.07384840360711117	0.07384840360711117	1.4474713204538124E-94	"inorganic ion transmembrane transport"
GO:0046906	116407	54	208	2	1778	15	2	false	0.07385454154990606	0.07385454154990606	1.6599650541885708E-104	"tetrapyrrole binding"
GO:0006091	116407	69	208	2	1643	12	1	false	0.08744693261996193	0.08744693261996193	9.621349245188556E-124	"generation of precursor metabolites and energy"
GO:0016765	116407	24	208	1	793	3	1	false	0.0881821887189467	0.0881821887189467	2.3057860154445908E-46	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0009059	116407	719	208	7	1838	11	2	false	0.08829107147842051	0.08829107147842051	0.0	"macromolecule biosynthetic process"
GO:1990904	116407	32	208	1	354	1	1	false	0.090395480225998	0.090395480225998	3.0162515753502066E-46	"ribonucleoprotein complex"
GO:0006811	116407	157	208	2	515	2	1	false	0.09252389407275394	0.09252389407275394	7.655701737775279E-137	"monoatomic ion transport"
GO:0015399	116407	90	208	2	2557	15	2	false	0.09561785299502358	0.09561785299502358	1.4604245208123618E-168	"primary active transmembrane transporter activity"
GO:0006414	116407	517	208	7	719	7	2	false	0.0982515754493071	0.0982515754493071	1.1165045540961599E-184	"translational elongation"
GO:1901566	116407	678	208	7	1661	11	2	false	0.10897876370620024	0.10897876370620024	0.0	"organonitrogen compound biosynthetic process"
GO:0010467	116407	737	208	7	1607	10	1	false	0.11161470830172424	0.11161470830172424	0.0	"gene expression"
GO:1901576	116407	956	208	8	2118	12	2	false	0.1129451496410656	0.1129451496410656	0.0	"organic substance biosynthetic process"
GO:0043226	116407	735	208	7	1406	9	1	false	0.11358799022446975	0.11358799022446975	0.0	"organelle"
GO:0022804	116407	111	208	2	326	2	1	false	0.11524303916940411	0.11524303916940411	3.372307121689257E-90	"active transmembrane transporter activity"
