ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0042085	116407	1	96	1	102	1	1	false	0.009803921568627428	0.009803921568627428	0.009803921568627428	"5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity"
GO:0000097	116407	5	96	1	701	2	4	false	0.014224577134706646	0.014224577134706646	7.1911742382392E-13	"sulfur amino acid biosynthetic process"
GO:0008172	116407	2	96	1	102	1	1	false	0.01960784313725486	0.01960784313725486	1.941370607648973E-4	"S-methyltransferase activity"
GO:0000096	116407	15	96	1	1470	3	3	false	0.030321362430399377	0.030321362430399377	4.3437330411266655E-36	"sulfur amino acid metabolic process"
GO:1903293	116407	5	96	1	148	1	1	false	0.03378378378378266	0.03378378378378266	1.8093344228710935E-9	"phosphatase complex"
GO:0044272	116407	16	96	1	905	2	2	false	0.035065760524131025	0.035065760524131025	1.1807553897477575E-34	"sulfur compound biosynthetic process"
GO:0050896	116407	171	96	2	3028	6	1	false	0.04091836984018209	0.04091836984018209	8.731569537395596E-285	"response to stimulus"
GO:0051716	116407	167	96	2	2411	6	2	false	0.05945973746146987	0.05945973746146987	8.063739360976977E-263	"cellular response to stimulus"
GO:0050660	116407	38	96	1	1241	2	2	false	0.0603272594941518	0.0603272594941518	2.533538312562054E-73	"flavin adenine dinucleotide binding"
GO:0019899	116407	37	96	1	1000	2	1	false	0.07266666666664237	0.07266666666664237	2.7012310837740928E-68	"enzyme binding"
GO:0098754	116407	38	96	1	3028	6	2	false	0.07303245369414185	0.07303245369414185	3.4343520783220825E-88	"detoxification"
GO:0008652	116407	29	96	1	713	2	3	false	0.07974691523395751	0.07974691523395751	2.8681576940549584E-52	"amino acid biosynthetic process"
GO:0006790	116407	37	96	1	1643	4	1	false	0.08715862039295423	0.08715862039295423	2.1752502635722965E-76	"sulfur compound metabolic process"
GO:0015453	116407	16	96	1	535	3	2	false	0.08722147761550429	0.08722147761550429	5.825396889764046E-31	"oxidoreduction-driven active transmembrane transporter activity"
GO:0015698	116407	23	96	1	515	2	1	false	0.08740886252879114	0.08740886252879114	1.8090781971832205E-40	"inorganic anion transport"
GO:0016675	116407	14	96	1	461	3	1	false	0.08855398552264272	0.08855398552264272	5.434668916459107E-27	"oxidoreductase activity, acting on a heme group of donors"
GO:1990748	116407	38	96	1	2408	6	3	false	0.09111750847213393	0.09111750847213393	2.2030630788246105E-84	"cellular detoxification"
GO:0016053	116407	49	96	1	1032	2	4	false	0.09275069737372887	0.09275069737372887	4.136505101203453E-85	"organic acid biosynthetic process"
GO:0016209	116407	38	96	1	5004	13	2	false	0.09445404123300423	0.09445404123300423	1.6055691278269643E-96	"antioxidant activity"
GO:0005315	116407	7	96	1	131	2	2	false	0.10440399295360758	0.10440399295360758	8.960493506706093E-12	"inorganic phosphate transmembrane transporter activity"
GO:0016684	116407	17	96	1	461	3	1	false	0.10682301654666218	0.10682301654666218	2.499371780152567E-31	"oxidoreductase activity, acting on peroxide as acceptor"
GO:0022804	116407	111	96	2	326	2	1	false	0.11524303916940411	0.11524303916940411	3.372307121689257E-90	"active transmembrane transporter activity"
GO:0046906	116407	54	96	1	1778	4	2	false	0.1161551145944913	0.1161551145944913	1.6599650541885708E-104	"tetrapyrrole binding"
GO:0004602	116407	2	96	1	17	1	1	false	0.11764705882352952	0.11764705882352952	0.0073529411764706055	"glutathione peroxidase activity"
GO:0015318	116407	117	96	2	326	2	1	false	0.12809815950918085	0.12809815950918085	8.248988171151481E-92	"inorganic molecular entity transmembrane transporter activity"
GO:0008374	116407	9	96	1	70	1	1	false	0.12857142857142873	0.12857142857142873	1.5376683722111E-11	"O-acyltransferase activity"
GO:0098772	116407	54	96	1	5004	13	2	false	0.13170220325972717	0.13170220325972717	5.306699337382639E-129	"molecular function regulator activity"
GO:0044283	116407	79	96	1	1107	2	2	false	0.1376951864756929	0.1376951864756929	5.038863829588802E-123	"small molecule biosynthetic process"
GO:0007165	116407	59	96	1	2408	6	5	false	0.13842884527272786	0.13842884527272786	8.618030364141735E-120	"signal transduction"
GO:0007154	116407	60	96	1	2408	6	1	false	0.1406295378773938	0.1406295378773938	2.2012848950551383E-121	"cell communication"
