ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0006457	122988	187	165	3	2908	6	1	false	0.004529075827981935	0.004529075827981935	1.315204370793247E-300	"protein folding"
GO:0005488	122988	3192	165	22	5709	29	1	false	0.021516949938851365	0.021516949938851365	0.0	"binding"
GO:0005509	122988	139	165	5	358	6	1	false	0.0346137084523746	0.0346137084523746	3.2388978927115693E-103	"calcium ion binding"
GO:0044183	122988	160	165	3	5711	29	3	false	0.04630217324561699	0.04630217324561699	3.76651133E-316	"protein folding chaperone"
GO:0042302	122988	10	165	1	806	4	1	false	0.04880103306414463	0.04880103306414463	3.3170777656993566E-23	"structural constituent of cuticle"
GO:0016787	122988	1150	165	6	2787	8	1	false	0.05782911444625588	0.05782911444625588	0.0	"hydrolase activity"
GO:0140662	122988	155	165	3	391	3	2	false	0.06156769351136805	0.06156769351136805	2.2513937950015696E-113	"ATP-dependent protein folding chaperone"
GO:0008171	122988	7	165	1	108	1	1	false	0.06481481481481505	0.06481481481481505	3.586386599906858E-11	"O-methyltransferase activity"
GO:0043169	122988	361	165	6	1625	14	1	false	0.06813040664677035	0.06813040664677035	0.0	"cation binding"
GO:0042802	122988	10	165	1	1033	8	1	false	0.07511685782283535	0.07511685782283535	2.739914484430476E-24	"identical protein binding"
GO:0070569	122988	5	165	1	57	1	1	false	0.08771929824561349	0.08771929824561349	2.3882844141036394E-7	"uridylyltransferase activity"
GO:0019538	122988	1699	165	5	2589	5	3	false	0.12145814345266906	0.12145814345266906	0.0	"protein metabolic process"
GO:0016779	122988	57	165	1	407	1	1	false	0.14004914004912558	0.14004914004912558	4.453191068256743E-71	"nucleotidyltransferase activity"
GO:0016459	122988	63	165	1	432	1	2	false	0.14583333333330903	0.14583333333330903	2.1248358483480565E-77	"myosin complex"
GO:0051082	122988	185	165	3	1033	8	1	false	0.15825753370471338	0.15825753370471338	4.2741245488823866E-210	"unfolded protein binding"
GO:0043167	122988	1625	165	14	3192	22	1	false	0.162572339852049	0.162572339852049	0.0	"ion binding"
GO:0009057	122988	92	165	1	2140	5	2	false	0.1974176608586787	0.1974176608586787	3.618958016270198E-164	"macromolecule catabolic process"
GO:0044249	122988	1302	165	3	2165	3	2	false	0.217300115189833	0.217300115189833	0.0	"cellular biosynthetic process"
GO:1901564	122988	1926	165	5	2612	5	2	false	0.21768200752723044	0.21768200752723044	0.0	"organonitrogen compound metabolic process"
GO:1901565	122988	98	165	1	1964	5	2	false	0.22601157831486046	0.22601157831486046	2.0670899463694993E-168	"organonitrogen compound catabolic process"
GO:0009056	122988	142	165	1	2798	5	1	false	0.22941823664242167	0.22941823664242167	3.6223257268545003E-243	"catabolic process"
GO:1901575	122988	137	165	1	2609	5	2	false	0.23655180256347483	0.23655180256347483	1.665929656012132E-232	"organic substance catabolic process"
GO:0030163	122988	90	165	1	1708	5	3	false	0.23737407876950287	0.23737407876950287	1.9259760731413196E-152	"protein catabolic process"
GO:0003774	122988	53	165	1	5709	29	1	false	0.23749799118260354	0.23749799118260354	4.349024733021987E-130	"cytoskeletal motor activity"
GO:0003674	122988	5709	165	29	6502	31	1	false	0.252588098122671	0.252588098122671	0.0	"molecular_function"
GO:0019001	122988	275	165	3	1225	8	1	false	0.25882836316775926	0.25882836316775926	1.7819575968822965E-282	"guanyl nucleotide binding"
GO:0005525	122988	262	165	3	1158	8	2	false	0.26300927998102464	0.26300927998102464	4.3761357525612773E-268	"GTP binding"
GO:0016741	122988	113	165	1	794	2	1	false	0.26453444973486717	0.26453444973486717	2.023898359867671E-140	"transferase activity, transferring one-carbon groups"
GO:0032561	122988	271	165	3	1168	8	2	false	0.2768982897239333	0.2768982897239333	5.951838832358491E-274	"guanyl ribonucleotide binding"
GO:0035639	122988	1149	165	8	1339	8	2	false	0.29295962587930846	0.29295962587930846	1.0402457128639666E-236	"purine ribonucleoside triphosphate binding"
GO:0043603	122988	927	165	3	2338	5	1	false	0.3112450018115682	0.3112450018115682	0.0	"amide metabolic process"
GO:0140657	122988	386	165	3	5709	29	2	false	0.3121370542207579	0.3121370542207579	0.0	"ATP-dependent activity"
GO:0016817	122988	561	165	4	1150	6	1	false	0.3207635347352308	0.3207635347352308	0.0	"hydrolase activity, acting on acid anhydrides"
GO:0043170	122988	2095	165	5	2604	5	1	false	0.33675147418834517	0.33675147418834517	0.0	"macromolecule metabolic process"
GO:0005856	122988	92	165	1	932	4	1	false	0.3406037581100852	0.3406037581100852	8.438461294329305E-130	"cytoskeleton"
GO:0006508	122988	412	165	2	1699	5	1	false	0.3513422878860163	0.3513422878860163	0.0	"proteolysis"
GO:0004519	122988	17	165	1	46	1	1	false	0.36956521739130077	0.36956521739130077	5.715281718520946E-13	"endonuclease activity"
GO:0051603	122988	87	165	1	415	2	2	false	0.37572900296849715	0.37572900296849715	5.929760244484762E-92	"proteolysis involved in protein catabolic process"
GO:0043226	122988	1163	165	4	1864	5	1	false	0.37925982174514006	0.37925982174514006	0.0	"organelle"
GO:0008092	122988	60	165	1	1033	8	1	false	0.3814559955567948	0.3814559955567948	6.8079073187307845E-99	"cytoskeletal protein binding"
GO:1901265	122988	1274	165	8	1997	11	2	false	0.39218834206667774	0.39218834206667774	0.0	"nucleoside phosphate binding"
GO:0004518	122988	46	165	1	116	1	1	false	0.3965517241379385	0.3965517241379385	1.9425712537916333E-33	"nuclease activity"
GO:0006807	122988	2338	165	5	2798	5	1	false	0.40707856665249054	0.40707856665249054	0.0	"nitrogen compound metabolic process"
GO:0006412	122988	900	165	3	1997	5	5	false	0.40802476434156654	0.40802476434156654	0.0	"translation"
GO:0043228	122988	932	165	4	1163	4	1	false	0.41189659719867927	0.41189659719867927	5.672413049694205E-251	"non-membrane-bounded organelle"
GO:0043232	122988	932	165	4	1161	4	2	false	0.4147458523399058	0.4147458523399058	1.4428257161373487E-249	"intracellular non-membrane-bounded organelle"
GO:0043604	122988	912	165	3	1218	3	2	false	0.4194528660079258	0.4194528660079258	2.5521404877297732E-297	"amide biosynthetic process"
GO:0005515	122988	1033	165	8	3192	22	1	false	0.4209640623216163	0.4209640623216163	0.0	"protein binding"
GO:0043632	122988	40	165	1	92	1	1	false	0.43478260869564495	0.43478260869564495	5.2908865673515894E-27	"modification-dependent macromolecule catabolic process"
GO:0009059	122988	1105	165	3	2357	5	2	false	0.44163268103864073	0.44163268103864073	0.0	"macromolecule biosynthetic process"
GO:0044271	122988	1203	165	3	1577	3	2	false	0.44365424140748677	0.44365424140748677	0.0	"cellular nitrogen compound biosynthetic process"
GO:0006518	122988	916	165	3	1926	5	2	false	0.4542697747378348	0.4542697747378348	0.0	"peptide metabolic process"
GO:0019941	122988	40	165	1	87	1	2	false	0.4597701149425334	0.4597701149425334	1.001133553252606E-25	"modification-dependent protein catabolic process"
GO:0016788	122988	116	165	1	1150	6	1	false	0.4724075852688706	0.4724075852688706	1.2513915563760687E-162	"hydrolase activity, acting on ester bonds"
GO:0032553	122988	1170	165	8	1281	8	2	false	0.4832696931106105	0.4832696931106105	2.755955503345667E-163	"ribonucleotide binding"
GO:0008234	122988	176	165	1	358	1	1	false	0.49162011173178444	0.49162011173178444	4.2495451742518777E-107	"cysteine-type peptidase activity"
GO:1901566	122988	1093	165	3	2196	5	2	false	0.49572703860251066	0.49572703860251066	0.0	"organonitrogen compound biosynthetic process"
GO:0003779	122988	30	165	1	60	1	1	false	0.5000000000000062	0.5000000000000062	8.455616946072448E-18	"actin binding"
GO:0009058	122988	1424	165	3	2798	5	1	false	0.5167614554676248	0.5167614554676248	0.0	"biosynthetic process"
GO:0003723	122988	372	165	2	723	3	1	false	0.5218083086423531	0.5218083086423531	1.0360452533180724E-216	"RNA binding"
GO:1901576	122988	1373	165	3	2653	5	2	false	0.5328615761346529	0.5328615761346529	0.0	"organic substance biosynthetic process"
GO:0006414	122988	900	165	3	1105	3	2	false	0.5399725392574354	0.5399725392574354	2.1041358769642623E-229	"translational elongation"
GO:0005622	122988	1327	165	4	1864	5	1	false	0.552774838362077	0.552774838362077	0.0	"intracellular anatomical structure"
GO:0043043	122988	906	165	3	1103	3	3	false	0.5538609948429535	0.5538609948429535	5.14036151517823E-224	"peptide biosynthetic process"
GO:0010467	122988	1128	165	3	2095	5	1	false	0.571831470680203	0.571831470680203	0.0	"gene expression"
GO:0043229	122988	1161	165	4	1328	4	2	false	0.5837861724508714	0.5837861724508714	2.1792147578478843E-217	"intracellular organelle"
GO:0097367	122988	1177	165	8	3192	22	1	false	0.5995505183983474	0.5995505183983474	0.0	"carbohydrate derivative binding"
GO:0005198	122988	806	165	4	5709	29	1	false	0.6012040691195449	0.6012040691195449	0.0	"structural molecule activity"
GO:0044238	122988	2538	165	5	2798	5	1	false	0.6138473012203371	0.6138473012203371	0.0	"primary metabolic process"
GO:0032555	122988	1164	165	8	1231	8	2	false	0.6382464867402728	0.6382464867402728	2.0376723979046257E-112	"purine ribonucleotide binding"
GO:0034641	122988	1480	165	3	2573	5	2	false	0.6390002300567257	0.6390002300567257	0.0	"cellular nitrogen compound metabolic process"
GO:0000166	122988	1274	165	8	1344	8	2	false	0.6511217966930941	0.6511217966930941	7.667246792881469E-119	"nucleotide binding"
GO:0071704	122988	2604	165	5	2798	5	1	false	0.6979922214560089	0.6979922214560089	2.5723448516463706E-305	"organic substance metabolic process"
GO:0016887	122988	386	165	3	531	4	2	false	0.699110074278537	0.699110074278537	1.609402817263484E-134	"ATP hydrolysis activity"
GO:0016740	122988	794	165	2	2787	8	1	false	0.7140413340823772	0.7140413340823772	0.0	"transferase activity"
GO:0032991	122988	432	165	1	1950	5	1	false	0.7145363127329918	0.7145363127329918	0.0	"protein-containing complex"
GO:0003924	122988	145	165	1	531	4	1	false	0.7219531064917399	0.7219531064917399	1.609402817263484E-134	"GTPase activity"
GO:0017076	122988	1225	165	8	1274	8	1	false	0.7300455414722179	0.7300455414722179	1.088620065703178E-89	"purine nucleotide binding"
GO:0016772	122988	407	165	1	794	2	1	false	0.7627508965412071	0.7627508965412071	4.360721170439728E-238	"transferase activity, transferring phosphorus-containing groups"
GO:0009987	122988	2908	165	6	3686	8	1	false	0.7722224226392169	0.7722224226392169	0.0	"cellular process"
GO:0036094	122988	1344	165	8	3192	22	1	false	0.7756922840567957	0.7756922840567957	0.0	"small molecule binding"
GO:0110165	122988	1864	165	5	1950	5	1	false	0.7979093724410223	0.7979093724410223	1.8514572387039184E-152	"cellular anatomical entity"
GO:0008233	122988	358	165	1	1521	6	2	false	0.8007579885078125	0.8007579885078125	0.0	"peptidase activity"
GO:0017111	122988	531	165	4	561	4	1	false	0.8021638570600157	0.8021638570600157	1.9842186907060745E-50	"ribonucleoside triphosphate phosphatase activity"
GO:0003676	122988	723	165	3	1997	11	2	false	0.8229460053320755	0.8229460053320755	0.0	"nucleic acid binding"
GO:0015629	122988	77	165	1	92	1	1	false	0.8369565217391246	0.8369565217391246	1.5263377411168286E-17	"actin cytoskeleton"
GO:0032559	122988	893	165	5	1221	8	2	false	0.8595244711740584	0.8595244711740584	1.0625853593354809E-307	"adenyl ribonucleotide binding"
GO:0005840	122988	778	165	3	932	4	1	false	0.8704126840917538	0.8704126840917538	1.043667077359258E-180	"ribosome"
GO:0008152	122988	2798	165	5	3686	8	1	false	0.8986147098248904	0.8986147098248904	0.0	"metabolic process"
GO:0005524	122988	887	165	5	1155	8	2	false	0.9102801245249119	0.9102801245249119	6.639822430037397E-271	"ATP binding"
GO:0140096	122988	749	165	1	2787	8	1	false	0.9185425665819835	0.9185425665819835	0.0	"catalytic activity, acting on a protein"
GO:0030554	122988	950	165	5	1225	8	1	false	0.9191353846505557	0.9191353846505557	1.7819575968822965E-282	"adenyl nucleotide binding"
GO:1901363	122988	1997	165	11	3192	22	1	false	0.9236056215739328	0.9236056215739328	0.0	"heterocyclic compound binding"
GO:0097159	122988	1997	165	11	3192	22	1	false	0.9236056215739328	0.9236056215739328	0.0	"organic cyclic compound binding"
GO:0044237	122988	2059	165	3	3642	8	2	false	0.925350330470761	0.925350330470761	0.0	"cellular metabolic process"
GO:0016020	122988	825	165	1	1864	5	1	false	0.9464210737616917	0.9464210737616917	0.0	"membrane"
GO:0046872	122988	358	165	6	361	6	1	false	0.9508284528943416	0.9508284528943416	1.28601815343215E-7	"metal ion binding"
GO:0008168	122988	108	165	1	113	1	1	false	0.9557522123894009	0.9557522123894009	7.124306872622209E-9	"methyltransferase activity"
GO:0005575	122988	1950	165	5	6502	31	1	false	0.9762853820669004	0.9762853820669004	0.0	"cellular_component"
GO:0043168	122988	1280	165	8	1625	14	1	false	0.9842849287979452	0.9842849287979452	0.0	"anion binding"
GO:0003735	122988	777	165	3	807	4	2	false	0.9923421892909805	0.9923421892909805	2.847469580366419E-55	"structural constituent of ribosome"
GO:0003824	122988	2787	165	8	5709	29	1	false	0.9942499834243723	0.9942499834243723	0.0	"catalytic activity"
GO:0008150	122988	3686	165	8	6502	31	1	false	0.9998859116883442	0.9998859116883442	0.0	"biological_process"
GO:0000000	122988	6502	165	31	0	0	0	true	1.0	1.0	1.0	"Gene Ontology"
GO:0016462	122988	561	165	4	561	4	1	true	1.0	1.0	1.0	"pyrophosphatase activity"
GO:0016818	122988	561	165	4	561	4	1	true	1.0	1.0	1.0	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GO:0006511	122988	40	165	1	40	1	1	true	1.0	1.0	1.0	"ubiquitin-dependent protein catabolic process"
