ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0046906	122988	69	74	2	1997	2	2	false	0.0011771163759665428	0.0011771163759665428	1.055234145937412E-129	"tetrapyrrole binding"
GO:0042802	122988	10	74	1	1033	2	1	false	0.01927666088836954	0.01927666088836954	2.739914484430476E-24	"identical protein binding"
GO:0098754	122988	45	74	1	3686	3	2	false	0.036189455039396544	0.036189455039396544	5.011165033719492E-105	"detoxification"
GO:0016684	122988	20	74	1	483	1	1	false	0.041407867494817535	0.041407867494817535	7.592225698314664E-36	"oxidoreductase activity, acting on peroxide as acceptor"
GO:0031419	122988	3	74	1	131	2	2	false	0.04544920728126673	0.04544920728126673	2.731158420844124E-6	"cobalamin binding"
GO:0055085	122988	380	74	2	2945	3	2	false	0.045566365788835876	0.045566365788835876	0.0	"transmembrane transport"
GO:1990748	122988	45	74	1	2908	3	3	false	0.04572446175364206	0.04572446175364206	2.3156613195977E-100	"cellular detoxification"
GO:0019842	122988	65	74	1	1344	1	1	false	0.048363095238126444	0.048363095238126444	1.7927420923802133E-112	"vitamin binding"
GO:0051179	122988	544	74	2	3686	3	1	false	0.05884293329640744	0.05884293329640744	0.0	"localization"
GO:0016209	122988	45	74	1	5709	8	2	false	0.06138243818701807	0.06138243818701807	1.2826777166977912E-113	"antioxidant activity"
GO:0008171	122988	7	74	1	108	1	1	false	0.06481481481481505	0.06481481481481505	3.586386599906858E-11	"O-methyltransferase activity"
GO:0005215	122988	339	74	2	5709	8	1	false	0.0776110544978981	0.0776110544978981	0.0	"transporter activity"
GO:0016763	122988	6	74	1	61	1	1	false	0.09836065573770608	0.09836065573770608	1.800978478811498E-8	"pentosyltransferase activity"
GO:0050896	122988	164	74	1	3686	3	1	false	0.12766038436539967	0.12766038436539967	1.586309385488693E-290	"response to stimulus"
GO:0046873	122988	21	74	1	160	1	3	false	0.13125000000000023	0.13125000000000023	1.042004570625595E-26	"metal ion transmembrane transporter activity"
GO:0016757	122988	61	74	1	794	2	1	false	0.14783956597555406	0.14783956597555406	6.97988222566921E-93	"glycosyltransferase activity"
GO:0051716	122988	161	74	1	2910	3	2	false	0.15701661429709526	0.15701661429709526	1.419375117968719E-269	"cellular response to stimulus"
GO:0030001	122988	30	74	1	170	1	1	false	0.1764705882352857	0.1764705882352857	4.920260182535414E-34	"metal ion transport"
GO:0016020	122988	825	74	2	1864	2	1	false	0.19575929727043737	0.19575929727043737	0.0	"membrane"
GO:0016853	122988	166	74	1	2787	4	1	false	0.21790242075720562	0.21790242075720562	1.7350043081724106E-272	"isomerase activity"
GO:0043169	122988	361	74	1	1625	1	1	false	0.22215384615384035	0.22215384615384035	0.0	"cation binding"
GO:0016741	122988	113	74	1	794	2	1	false	0.26453444973486717	0.26453444973486717	2.023898359867671E-140	"transferase activity, transferring one-carbon groups"
GO:0070887	122988	45	74	1	162	1	2	false	0.2777777777777636	0.2777777777777636	3.861876331817607E-41	"cellular response to chemical stimulus"
GO:0006979	122988	21	74	1	74	1	1	false	0.2837837837837828	0.2837837837837828	6.602641431149535E-19	"response to oxidative stress"
GO:0042221	122988	47	74	1	164	1	1	false	0.28658536585366856	0.28658536585366856	3.1233639942352834E-42	"response to chemical"
GO:0022803	122988	57	74	1	334	2	1	false	0.31261800722876537	0.31261800722876537	9.067637011078053E-66	"passive transmembrane transporter activity"
GO:0016740	122988	794	74	2	2787	4	1	false	0.32171879443515694	0.32171879443515694	0.0	"transferase activity"
GO:0016866	122988	54	74	1	166	1	1	false	0.32530120481929375	0.32530120481929375	5.062395273375084E-45	"intramolecular transferase activity"
GO:0003674	122988	5709	74	8	6502	8	1	false	0.3530568379391755	0.3530568379391755	0.0	"molecular_function"
GO:0005515	122988	1033	74	2	3192	4	1	false	0.3901375815663998	0.3901375815663998	0.0	"protein binding"
GO:0004601	122988	20	74	1	45	1	2	false	0.44444444444444503	0.44444444444444503	3.154702679037097E-13	"peroxidase activity"
GO:0006950	122988	74	74	1	164	1	1	false	0.45121951219513723	0.45121951219513723	1.4950567117039818E-48	"response to stress"
GO:0009987	122988	2908	74	3	3686	3	1	false	0.4909334221162239	0.4909334221162239	0.0	"cellular process"
GO:0016491	122988	483	74	1	2787	4	1	false	0.5331408882272801	0.5331408882272801	0.0	"oxidoreductase activity"
GO:0003824	122988	2787	74	4	5709	8	1	false	0.6106456649750356	0.6106456649750356	0.0	"catalytic activity"
GO:0006811	122988	205	74	1	538	2	1	false	0.6173288197546811	0.6173288197546811	1.4914983039824279E-154	"monoatomic ion transport"
GO:0003950	122988	4	74	1	6	1	1	false	0.6666666666666662	0.6666666666666662	0.06666666666666664	"NAD+ ADP-ribosyltransferase activity"
GO:0034220	122988	181	74	1	393	2	2	false	0.7096380536947711	0.7096380536947711	4.1776468254676406E-117	"monoatomic ion transmembrane transport"
GO:0015318	122988	163	74	1	334	2	1	false	0.7386308464153171	0.7386308464153171	7.206565811716569E-100	"inorganic molecular entity transmembrane transporter activity"
GO:0005575	122988	1950	74	2	6502	8	1	false	0.7446865080781953	0.7446865080781953	0.0	"cellular_component"
GO:0015075	122988	171	74	1	344	2	2	false	0.7478134110786534	0.7478134110786534	6.529109137962593E-103	"monoatomic ion transmembrane transporter activity"
GO:0022857	122988	334	74	2	385	2	2	false	0.7523133116883091	0.7523133116883091	6.882716833809653E-65	"transmembrane transporter activity"
GO:0005488	122988	3192	74	4	5709	8	1	false	0.7569068808843481	0.7569068808843481	0.0	"binding"
GO:0098655	122988	152	74	1	199	1	2	false	0.7638190954774238	0.7638190954774238	8.600483213301828E-47	"monoatomic cation transmembrane transport"
GO:0008324	122988	142	74	1	181	1	2	false	0.7845303867403564	0.7845303867403564	1.5120025475439023E-40	"monoatomic cation transmembrane transporter activity"
GO:0006812	122988	170	74	1	205	1	1	false	0.8292682926829593	0.8292682926829593	2.758662109715032E-40	"monoatomic cation transport"
GO:1901363	122988	1997	74	2	3192	4	1	false	0.8491933586518994	0.8491933586518994	0.0	"heterocyclic compound binding"
GO:0097159	122988	1997	74	2	3192	4	1	false	0.8491933586518994	0.8491933586518994	0.0	"organic cyclic compound binding"
GO:0036094	122988	1344	74	1	3192	4	1	false	0.8878079611818646	0.8878079611818646	0.0	"small molecule binding"
GO:0022890	122988	145	74	1	163	1	1	false	0.8895705521472635	0.8895705521472635	2.570634087446824E-24	"inorganic cation transmembrane transporter activity"
GO:0110165	122988	1864	74	2	1950	2	1	false	0.9137182776180307	0.9137182776180307	1.8514572387039184E-152	"cellular anatomical entity"
GO:0008150	122988	3686	74	3	6502	8	1	false	0.9265372314204866	0.9265372314204866	0.0	"biological_process"
GO:0043167	122988	1625	74	1	3192	4	1	false	0.9420335164114237	0.9420335164114237	0.0	"ion binding"
GO:0008168	122988	108	74	1	113	1	1	false	0.9557522123894009	0.9557522123894009	7.124306872622209E-9	"methyltransferase activity"
GO:0009636	122988	45	74	1	47	1	1	false	0.9574468085106324	0.9574468085106324	9.250693802035031E-4	"response to toxic substance"
