genes,pfam_annotation
TRINITY_DN18716_c0_g1,COX1
TRINITY_DN2853_c0_g2,PSII_Pbs31
TRINITY_DN388_c0_g1,Chloroa_b-bind
TRINITY_DN8582_c0_g2,Chloroa_b-bind
TRINITY_DN7031_c0_g1,Chloroa_b-bind
TRINITY_DN25860_c0_g1,Chloroa_b-bind
TRINITY_DN81118_c0_g1,Mito_carr
TRINITY_DN8946_c0_g1,Chloroa_b-bind
TRINITY_DN24679_c0_g1,Chloroa_b-bind
TRINITY_DN8582_c0_g1,Chloroa_b-bind
TRINITY_DN2853_c0_g1,PSII_Pbs31
TRINITY_DN1535_c0_g1,Chloroa_b-bind
TRINITY_DN9272_c0_g1,COX1
TRINITY_DN6838_c0_g1,Chloroa_b-bind
TRINITY_DN38785_c0_g1,Chloroa_b-bind
TRINITY_DN23243_c0_g1,Chloroa_b-bind
TRINITY_DN85661_c0_g1,Chloroa_b-bind
TRINITY_DN1924_c1_g1,Chloroa_b-bind
TRINITY_DN51789_c0_g1,Chloroa_b-bind
TRINITY_DN55947_c0_g1,Chloroa_b-bind
TRINITY_DN34654_c0_g1,Proton_antipo_M
TRINITY_DN61532_c0_g1,Chloroa_b-bind
TRINITY_DN96949_c0_g1,Chloroa_b-bind
TRINITY_DN2487_c0_g1,Chloroa_b-bind
TRINITY_DN28175_c0_g1,Chloroa_b-bind
