genes,pfam_annotation
TRINITY_DN1237_c0_g1,Histone
TRINITY_DN3249_c1_g1,Rad60-SLD
TRINITY_DN7600_c0_g1,GTP_EFTU_D2
TRINITY_DN4326_c0_g1,Ribosomal_S17e
TRINITY_DN6305_c0_g1,Histone
TRINITY_DN42754_c0_g1,ANAPC4_WD40
TRINITY_DN20706_c0_g1,Ribosomal_L4
TRINITY_DN281_c0_g1,UQ_con
TRINITY_DN20211_c0_g1,Ribosomal_S14
TRINITY_DN68173_c0_g1,Ribosomal_S6e
TRINITY_DN86483_c0_g1,Ribosomal_S26e
TRINITY_DN8433_c0_g1,Ribosomal_L14e
TRINITY_DN2398_c0_g1,Ribosomal_L7Ae
TRINITY_DN12541_c0_g1,Ribos_L4_asso_C
TRINITY_DN4055_c0_g1,GTP_EFTU
TRINITY_DN6876_c0_g1,Ribosomal_L3
TRINITY_DN97287_c0_g1,Ribosomal_L21e
TRINITY_DN99383_c0_g1,Ribosomal_L18
TRINITY_DN2807_c5_g1,Ribosomal_S24e
TRINITY_DN5914_c0_g1,Ribosomal_L37ae
TRINITY_DN12207_c0_g1,PABP
TRINITY_DN1281_c0_g1,Linker_histone
TRINITY_DN6004_c0_g1,Ribosomal_L27A
TRINITY_DN14382_c0_g1,RRM_1
TRINITY_DN12488_c0_g2,Ribosomal_S3Ae
TRINITY_DN38448_c0_g1,HMG_box
TRINITY_DN49935_c1_g1,Yippee-Mis18
TRINITY_DN81903_c0_g1,S10_plectin
TRINITY_DN2184_c0_g2,Ribosomal_S26e
TRINITY_DN99314_c0_g1,Ribosomal_L6e
TRINITY_DN83838_c0_g1,Rad51
TRINITY_DN26408_c0_g1,Ribosomal_L27e
TRINITY_DN1097_c14_g1,GTP_EFTU_D2
TRINITY_DN49889_c0_g1,Myb_DNA-binding
TRINITY_DN15686_c0_g1,PAS_9
TRINITY_DN3249_c0_g1,Rad60-SLD
TRINITY_DN85605_c0_g1,Helicase_C
TRINITY_DN98006_c0_g1,Spherulin4
TRINITY_DN11267_c0_g1,Histone
TRINITY_DN38433_c0_g1,Ribosomal_L3
TRINITY_DN10957_c0_g1,Ribosomal_S7
TRINITY_DN81887_c0_g1,Ribosomal_S20p
TRINITY_DN2948_c0_g1,GTP-bdg_M
TRINITY_DN21587_c0_g1,Myb_DNA-binding
