genes,pfam_annotation
TRINITY_DN8503_c1_g1,Peptidase_C1
TRINITY_DN12661_c0_g1,UDPGP
TRINITY_DN10009_c0_g1,Abhydrolase_1
TRINITY_DN4254_c0_g1,Methyltransf_3
TRINITY_DN19924_c0_g1,Skp1
TRINITY_DN3873_c5_g1,Beta_helix
TRINITY_DN58822_c0_g1,AMP-binding
TRINITY_DN5217_c0_g1,TMEM254
TRINITY_DN76013_c0_g1,PARP
TRINITY_DN13514_c0_g1,M20_dimer
TRINITY_DN12703_c0_g1,Inhibitor_I29
TRINITY_DN20429_c0_g1,GST_C_3
TRINITY_DN14283_c1_g1,Pro_isomerase
TRINITY_DN10836_c0_g1,ATP-sulfurylase
TRINITY_DN73648_c0_g1,Asp
TRINITY_DN10639_c0_g1,Kunitz_BPTI
TRINITY_DN13782_c0_g1,Inhibitor_I29
TRINITY_DN4954_c0_g1,B12-binding
TRINITY_DN7941_c0_g1,PH
TRINITY_DN799_c0_g2,Peptidase_C1
TRINITY_DN20910_c0_g1,Nucleotid_trans
TRINITY_DN24723_c0_g1,Peptidase_C1
TRINITY_DN80326_c0_g1,Peptidase_C1
TRINITY_DN79942_c0_g1,APS_kinase
TRINITY_DN17495_c0_g1,Inhibitor_I29
TRINITY_DN21099_c0_g1,Peptidase_C1
TRINITY_DN58675_c0_g1,AdoHcyase
TRINITY_DN59859_c1_g1,Peptidase_C1
TRINITY_DN30623_c0_g1,Rho_GDI
TRINITY_DN83930_c0_g1,Peptidase_C1
TRINITY_DN18814_c0_g1,Peptidase_C1
TRINITY_DN10720_c0_g1,ATP-gua_Ptrans
TRINITY_DN5442_c0_g1,Methyltransf_5
