genes,pfam_annotation
TRINITY_DN92281_c0_g1,HSP90
TRINITY_DN16306_c0_g1,HSP90
TRINITY_DN18681_c0_g2,HSP70
TRINITY_DN23157_c0_g1,An_peroxidase
TRINITY_DN9893_c0_g1,PhyH
TRINITY_DN11722_c0_g1,adh_short
TRINITY_DN11303_c0_g1,DOMON
TRINITY_DN60697_c0_g1,Putative_PNPOx
TRINITY_DN21336_c0_g1,Ferritin
TRINITY_DN18767_c0_g1,peroxidase
TRINITY_DN43976_c0_g1,DIOX_N
TRINITY_DN20203_c0_g1,Iso_dh
TRINITY_DN46558_c0_g1,HSP90
TRINITY_DN116648_c0_g1,HSP70
TRINITY_DN78007_c0_g1,HSP90
TRINITY_DN62995_c0_g1,An_peroxidase
TRINITY_DN74328_c0_g1,Iso_dh
TRINITY_DN4563_c2_g1,FAD_binding_4
TRINITY_DN65921_c0_g1,Gp_dh_N
TRINITY_DN20048_c0_g1,HSP70
TRINITY_DN13307_c0_g1,adh_short
