genes,pfam_annotation
TRINITY_DN17131_c0_g1,LRR_8
TRINITY_DN4290_c0_g1,LRR_4
TRINITY_DN116273_c0_g1,EF-hand_1
TRINITY_DN69447_c0_g1,EF-hand_1
TRINITY_DN1428_c0_g3,ABC_tran
TRINITY_DN18015_c1_g1,EF-hand_1
TRINITY_DN67598_c0_g1,Cu-binding_MopE
TRINITY_DN85933_c0_g1,EF-hand_1
TRINITY_DN61696_c0_g1,EF-hand_1
TRINITY_DN72939_c0_g1,LRR_8
TRINITY_DN89193_c0_g1,LRR_8
TRINITY_DN10965_c0_g1,EF-hand_1
TRINITY_DN12680_c0_g1,Annexin
TRINITY_DN11621_c0_g1,Pkinase
TRINITY_DN21705_c0_g1,EF-hand_1
TRINITY_DN108291_c0_g1,EF-hand_1
TRINITY_DN53670_c0_g1,EF-hand_1
TRINITY_DN20256_c0_g1,EF-hand_1
TRINITY_DN60376_c0_g1,EF-hand_1
TRINITY_DN108597_c0_g1,EF-hand_1
TRINITY_DN8324_c0_g2,EF-hand_1
TRINITY_DN118380_c0_g1,EF-hand_1
TRINITY_DN42161_c0_g1,LRR_4
TRINITY_DN6039_c0_g1,Ras
TRINITY_DN42373_c0_g1,EF-hand_1
