genes,pfam_annotation
TRINITY_DN1842_c2_g1,Inhibitor_I29
TRINITY_DN18841_c0_g1,PTE
TRINITY_DN289_c3_g1,Meth_synt_1
TRINITY_DN1060_c0_g1,Glyco_hydro_114
TRINITY_DN34493_c0_g1,Aldo_ket_red
TRINITY_DN568_c0_g1,Fea1
TRINITY_DN35367_c0_g1,Glycolytic
TRINITY_DN50279_c0_g1,Asp
TRINITY_DN2738_c0_g1,Aminotran_3
TRINITY_DN96948_c0_g1,NAD_binding_10
TRINITY_DN18384_c0_g1,Beta_helix
TRINITY_DN1625_c0_g1,Tyrosinase
TRINITY_DN5761_c0_g1,Beta_helix
TRINITY_DN100065_c0_g1,GST_C_3
TRINITY_DN1930_c0_g1,AdoHcyase
TRINITY_DN64827_c0_g1,WSC
TRINITY_DN1842_c1_g1,Inhibitor_I29
TRINITY_DN8625_c0_g1,WSC
TRINITY_DN5860_c0_g2,F5_F8_type_C
TRINITY_DN3887_c1_g1,CAP
TRINITY_DN561_c1_g1,Ank
TRINITY_DN21438_c0_g1,Beta_helix
TRINITY_DN41323_c0_g1,FBPase_C
TRINITY_DN4950_c0_g2,FBPase_C
TRINITY_DN66660_c0_g1,Peptidase_C12
TRINITY_DN8061_c0_g1,DAGAT
TRINITY_DN13605_c0_g1,FBPase
TRINITY_DN6525_c0_g1,Aldo_ket_red
TRINITY_DN65680_c0_g1,DJ-1_PfpI
TRINITY_DN38406_c0_g1,MAPEG
TRINITY_DN10906_c0_g1,WSC
TRINITY_DN12185_c0_g1,Transket_pyr
TRINITY_DN35243_c0_g1,Pro_CA
TRINITY_DN37870_c0_g1,G6PD_C
TRINITY_DN35272_c0_g1,NosD
TRINITY_DN52768_c0_g1,GSDH
TRINITY_DN6767_c1_g1,Gal-3-0_sulfotr
TRINITY_DN35943_c0_g1,Inhibitor_I29
TRINITY_DN10968_c0_g1,S-AdoMet_synt_C
TRINITY_DN39358_c0_g1,Alk_phosphatase
TRINITY_DN569_c0_g1,UDPG_MGDP_dh
TRINITY_DN5860_c0_g1,F5_F8_type_C
TRINITY_DN303_c0_g1,CBM_6
TRINITY_DN11593_c0_g1,TAL_FSA
TRINITY_DN11087_c0_g1,Ribosomal_L4
TRINITY_DN12224_c0_g1,WSC
TRINITY_DN50480_c0_g1,Aldose_epim
TRINITY_DN34269_c0_g1,Branch
