genes,pfam_annotation
TRINITY_DN64126_c0_g1,RCC1
TRINITY_DN112799_c0_g1,HNH
TRINITY_DN14840_c0_g1,GTP_EFTU
TRINITY_DN317_c0_g1,zf-CCCH
TRINITY_DN47318_c0_g1,RT_RNaseH
TRINITY_DN99113_c0_g1,Ribosomal_L14
TRINITY_DN20417_c0_g1,EFG_III
TRINITY_DN16365_c0_g1,Rad60-SLD
TRINITY_DN76887_c0_g1,RRM_1
TRINITY_DN19568_c0_g1,Ribosomal_S19
TRINITY_DN82190_c0_g1,Ribosomal_L1
TRINITY_DN26513_c0_g1,GTP_EFTU_D3
TRINITY_DN23114_c0_g1,RRM_1
TRINITY_DN108719_c0_g1,Ribosomal_L6e
TRINITY_DN75977_c0_g1,RVT_N
TRINITY_DN95301_c0_g1,RVT_1
TRINITY_DN12311_c0_g1,WD40
TRINITY_DN9436_c0_g1,Ribosomal_S8e
TRINITY_DN9448_c0_g1,Ribosomal_S6e
TRINITY_DN7884_c0_g1,Ribosomal_L18
TRINITY_DN73781_c0_g1,GTP_EFTU
TRINITY_DN8605_c0_g1,GTP_EFTU_D2
TRINITY_DN10431_c0_g1,Ribosomal_L29
TRINITY_DN9192_c0_g1,Ribosomal_S26e
TRINITY_DN13305_c1_g1,Ribosomal_60s
TRINITY_DN46462_c0_g1,Ribosomal_S3Ae
TRINITY_DN8917_c0_g1,LRAT
TRINITY_DN18307_c0_g1,Ribosomal_L5e
TRINITY_DN9951_c0_g1,Ribosomal_L1
TRINITY_DN25603_c0_g1,Ribosomal_L4
TRINITY_DN17821_c0_g1,Ribosomal_L16
TRINITY_DN88977_c0_g1,Ribosomal_S5
TRINITY_DN76630_c0_g1,Ribosomal_L7Ae
TRINITY_DN24787_c0_g2,Ribosomal_S3_C
TRINITY_DN97406_c0_g1,Ribosomal_L13e
TRINITY_DN58502_c0_g1,Ribosomal_L16
TRINITY_DN12781_c0_g1,Histone
TRINITY_DN69047_c0_g1,Ribosomal_S27
TRINITY_DN12318_c0_g1,Ribosomal_L3
TRINITY_DN92854_c0_g1,Ribosomal_L18A
TRINITY_DN60940_c0_g1,Ribosomal_S3_C
TRINITY_DN13539_c0_g1,Ribosomal_L19e
TRINITY_DN6617_c0_g1,Histone
TRINITY_DN14896_c0_g1,Ribosomal_L22e
TRINITY_DN113339_c0_g1,Ribosomal_L14
TRINITY_DN41843_c0_g1,Ribosomal_S11
TRINITY_DN23379_c0_g1,Ribosomal_L6e
TRINITY_DN45957_c0_g1,EFG_IV
TRINITY_DN25379_c0_g1,NBCH_WD40
TRINITY_DN77440_c0_g1,Ribosomal_L27A
TRINITY_DN94618_c0_g1,Ribosomal_L21e
TRINITY_DN3939_c0_g1,Histone
TRINITY_DN20162_c0_g2,RL10P_insert
TRINITY_DN91219_c0_g1,Ribosomal_S7
TRINITY_DN76659_c0_g1,40S_S4_C
TRINITY_DN18512_c0_g1,GTP_EFTU
TRINITY_DN59249_c0_g1,Ribosomal_60s
TRINITY_DN89053_c0_g1,Ribosomal_S25
TRINITY_DN6822_c0_g1,Ribosomal_S19e
TRINITY_DN73479_c0_g1,Ribosomal_L18
TRINITY_DN19674_c0_g1,Ribosomal_L2_C
TRINITY_DN19979_c0_g1,Ribosomal_S17
TRINITY_DN23134_c0_g1,WD40
TRINITY_DN66658_c0_g1,Ribosomal_L26
TRINITY_DN59410_c0_g1,40S_S4_C
TRINITY_DN77109_c0_g1,Ribosomal_L14
TRINITY_DN75704_c0_g1,WD40
TRINITY_DN96253_c0_g1,Ribosomal_S7
TRINITY_DN43534_c0_g1,Ribosomal_L30
TRINITY_DN8042_c0_g1,GTP_EFTU_D2
TRINITY_DN24081_c0_g1,Ribosomal_L5e
TRINITY_DN61343_c0_g1,Ribosomal_S9
TRINITY_DN91641_c0_g1,Ribosomal_L14e
TRINITY_DN117470_c0_g1,Ribosomal_L5
TRINITY_DN91717_c0_g1,Ribosomal_L35Ae
TRINITY_DN110460_c0_g1,Ribosomal_S13_N
TRINITY_DN27892_c0_g1,Ribosomal_S6e
TRINITY_DN60356_c0_g1,Ribosomal_60s
TRINITY_DN3882_c0_g1,SDA1
TRINITY_DN43269_c0_g1,Linker_histone
TRINITY_DN5510_c0_g1,Myb_DNA-binding
